#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 943: Dungeness, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dungeness (943) 
# Washington  SNOTEL Site - 4010 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 23, 2021 8:14:30 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1998-10-01,0.0,0.0,,,,0.20
1998-10-02,0.0,0.2,,,,0.00
1998-10-03,0.0,0.2,,,,0.00
1998-10-04,0.0,0.2,,,,0.10
1998-10-05,0.0,0.3,,,,0.40
1998-10-06,0.0,0.7,,,,0.20
1998-10-07,0.0,0.9,,,,0.20
1998-10-08,0.0,1.1,,,,0.00
1998-10-09,0.0,1.1,,,,0.00
1998-10-10,0.0,1.1,,,,0.00
1998-10-11,0.0,1.1,,,,0.50
1998-10-12,0.0,1.6,,,,2.20
1998-10-13,0.0,3.8,,,,0.10
1998-10-14,0.0,3.9,,,,0.20
1998-10-15,0.0,4.1,,,,0.00
1998-10-16,0.0,4.1,,,,0.20
1998-10-17,0.0,4.3,,,,0.00
1998-10-18,0.0,4.3,,,,0.00
1998-10-19,0.0,4.3,,,,0.20
1998-10-20,0.0,4.5,,,,0.10
1998-10-21,0.0,4.6,,,,0.00
1998-10-22,0.0,4.6,,,,0.00
1998-10-23,0.0,4.6,,,,0.10
1998-10-24,0.0,4.7,,,,0.10
1998-10-25,0.0,4.8,,,,0.10
1998-10-26,0.0,4.9,58,44,49,0.20
1998-10-27,0.0,5.1,58,32,46,0.40
1998-10-28,0.0,5.5,39,28,32,0.00
1998-10-29,0.0,5.5,47,28,34,0.00
1998-10-30,0.0,5.5,49,34,40,0.00
1998-10-31,0.0,5.5,46,34,41,0.00
1998-11-01,0.0,5.5,42,33,37,0.00
1998-11-02,0.0,5.5,42,34,37,0.10
1998-11-03,0.0,5.6,41,35,38,0.10
1998-11-04,0.0,5.7,48,35,40,0.00
1998-11-05,0.0,5.7,38,28,34,0.10
1998-11-06,0.0,5.8,36,28,32,0.00
1998-11-07,0.0,5.8,37,28,31,0.00
1998-11-08,0.0,5.8,42,28,32,0.00
1998-11-09,0.0,5.8,39,28,31,0.00
1998-11-10,0.0,5.8,43,29,33,0.00
1998-11-11,0.0,5.8,37,31,34,0.00
1998-11-12,0.0,5.8,47,35,40,0.50
1998-11-13,0.0,6.3,48,41,43,1.00
1998-11-14,0.0,7.3,46,37,42,0.30
1998-11-15,0.0,7.6,44,31,38,2.50
1998-11-16,0.0,10.1,37,28,32,0.10
1998-11-17,0.0,10.2,45,28,32,0.00
1998-11-18,0.0,10.2,43,27,30,0.00
1998-11-19,0.0,10.2,38,27,34,0.10
1998-11-20,0.0,10.3,41,33,37,2.90
1998-11-21,0.0,13.2,33,28,30,0.50
1998-11-22,0.7,13.7,37,26,29,0.30
1998-11-23,1.0,14.0,35,27,32,1.50
1998-11-24,2.4,15.5,34,30,31,1.00
1998-11-25,4.3,16.5,36,32,33,2.10
1998-11-26,4.5,18.6,33,29,31,0.10
1998-11-27,4.4,18.7,42,26,30,0.00
1998-11-28,4.6,18.7,41,25,28,0.00
1998-11-29,4.4,18.7,37,25,29,0.20
1998-11-30,4.9,18.9,32,26,28,0.30
1998-12-01,5.1,19.2,32,25,30,0.60
1998-12-02,6.1,19.8,35,21,27,0.30
1998-12-03,6.3,20.1,35,20,23,0.10
1998-12-04,6.3,20.2,34,20,23,0.00
1998-12-05,6.5,20.2,29,23,26,0.20
1998-12-06,6.4,20.4,35,20,25,0.10
