#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 974: Waterhole, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Waterhole (974) 
# Washington  SNOTEL Site - 5010 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 23, 2021 8:15:07 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1999-10-01,0.0,0.0,57,34,41,0.00
1999-10-02,0.0,0.0,58,33,41,0.00
1999-10-03,0.0,0.0,69,40,48,0.00
1999-10-04,0.0,0.0,73,39,50,0.00
1999-10-05,0.0,0.0,44,38,40,0.00
1999-10-06,0.0,0.0,57,38,42,0.00
1999-10-07,0.0,0.0,44,40,42,0.50
1999-10-08,0.0,0.5,44,32,39,1.10
1999-10-09,0.0,1.6,49,29,34,0.00
1999-10-10,0.0,1.6,43,28,34,0.00
1999-10-11,0.0,1.6,44,33,37,0.00
1999-10-12,0.0,1.6,46,36,42,0.00
1999-10-13,0.0,1.6,54,32,42,0.10
1999-10-14,0.0,1.7,50,28,34,0.00
1999-10-15,0.0,1.7,45,27,31,0.00
1999-10-16,0.0,1.7,56,28,39,0.00
1999-10-17,0.0,1.7,64,36,45,0.00
1999-10-18,0.0,1.7,58,35,41,0.00
1999-10-19,0.0,1.7,67,38,48,0.00
1999-10-20,0.0,1.7,68,43,49,0.00
1999-10-21,0.0,1.7,70,42,50,0.00
1999-10-22,0.0,1.7,72,46,53,0.00
1999-10-23,0.0,1.7,53,32,44,0.00
1999-10-24,0.0,1.7,45,26,33,0.30
1999-10-25,0.0,2.0,40,29,36,0.20
1999-10-26,0.0,2.2,41,26,31,0.10
1999-10-27,0.0,2.3,40,26,35,0.70
1999-10-28,0.4,3.0,38,31,35,1.50
1999-10-29,0.2,4.5,38,31,34,0.40
1999-10-30,0.6,4.9,41,36,39,1.60
1999-10-31,0.3,6.5,43,23,30,0.40
1999-11-01,0.2,6.9,43,24,29,0.00
1999-11-02,0.3,6.9,48,27,36,0.00
1999-11-03,0.5,6.9,42,29,36,0.40
1999-11-04,0.5,7.3,40,22,26,0.00
1999-11-05,0.3,7.3,38,22,31,0.20
1999-11-06,0.6,7.5,43,38,42,2.60
1999-11-07,0.6,10.1,42,39,41,0.50
1999-11-08,0.5,10.6,41,33,37,0.60
1999-11-09,0.5,11.2,35,33,34,1.10
1999-11-10,1.6,12.3,36,33,34,1.10
1999-11-11,2.2,13.4,43,34,38,2.30
1999-11-12,1.8,15.7,41,34,36,0.60
1999-11-13,1.5,16.3,43,35,41,0.10
1999-11-14,0.8,16.4,51,40,45,0.10
1999-11-15,0.5,16.5,48,38,43,0.30
1999-11-16,0.4,16.8,42,33,37,0.70
1999-11-17,0.4,17.5,40,28,31,0.10
1999-11-18,0.2,17.6,37,26,31,0.00
1999-11-19,0.3,17.6,36,33,34,0.60
1999-11-20,1.2,18.2,34,28,31,1.50
1999-11-21,2.2,19.7,34,24,28,0.10
1999-11-22,2.2,19.8,39,27,30,0.10
1999-11-23,2.3,19.9,35,28,30,0.00
1999-11-24,2.5,19.9,37,30,33,0.90
1999-11-25,3.1,20.8,36,31,34,0.60
1999-11-26,3.6,21.4,33,21,26,0.00
1999-11-27,3.4,21.4,33,22,29,0.20
1999-11-28,3.8,21.6,39,32,35,0.00
1999-11-29,3.9,21.6,44,34,37,0.80
1999-11-30,4.3,22.4,34,30,31,0.80
1999-12-01,5.1,23.2,34,28,31,0.50
1999-12-02,5.6,23.7,34,19,28,1.70
1999-12-03,6.2,25.4,33,18,26,0.00
1999-12-04,6.5,25.4,38,30,33,0.00
1999-12-05,6.7,25.4,33,28,30,0.50
1999-12-06,7.8,25.9,33,22,29,0.50
1999-12-07,8.9,26.4,28,18,21,0.30
1999-12-08,8.7,26.7,30,21,28,0.00
1999-12-09,9.7,26.7,34,27,29,1.70
1999-12-10,10.0,28.4,34,26,30,0.00
1999-12-11,10.2,28.4,39,34,35,0.00
1999-12-12,10.3,28.4,34,22,28,0.30
1999-12-13,12.6,28.7,26,21,24,0.10
1999-12-14,14.1,28.8,35,26,31,1.10
1999-12-15,14.7,29.9,38,34,36,2.90
1999-12-16,14.8,32.8,41,29,33,0.10
1999-12-17,14.8,32.9,37,29,34,1.30
1999-12-18,16.0,34.2,32,26,29,0.20
1999-12-19,15.9,34.4,35,27,31,0.30
1999-12-20,16.0,34.7,39,31,35,0.00
1999-12-21,16.1,34.7,39,32,35,0.00
1999-12-22,16.2,34.7,50,33,41,0.00
1999-12-23,16.2,34.7,49,39,43,0.00
1999-12-24,16.2,34.7,49,38,42,0.00
1999-12-25,16.2,34.7,46,37,41,0.00
1999-12-26,16.3,34.7,54,39,45,0.00
1999-12-27,16.3,34.7,52,42,46,0.00
1999-12-28,16.3,34.7,47,35,41,0.00
1999-12-29,16.3,34.7,46,33,37,0.00
1999-12-30,16.2,34.7,41,30,34,0.10
1999-12-31,16.4,34.8,36,27,31,0.30
2000-01-01,16.6,35.1,30,24,26,0.90
2000-01-02,17.7,36.0,24,19,21,0.50
2000-01-03,17.7,36.5,34,20,30,0.40
2000-01-04,18.7,36.9,33,26,29,0.70
2000-01-05,19.3,37.6,29,20,24,0.00
2000-01-06,19.3,37.6,32,22,29,0.20
2000-01-07,19.5,37.8,34,25,29,0.60
2000-01-08,20.1,38.4,32,23,27,0.50
2000-01-09,20.6,38.9,31,18,23,1.40
2000-01-10,22.0,40.3,27,18,22,0.30
2000-01-11,22.3,40.6,25,17,20,0.30
2000-01-12,22.6,40.9,24,17,21,0.70
2000-01-13,23.3,41.6,28,22,25,0.50
2000-01-14,23.8,42.1,29,20,26,1.70
2000-01-15,25.5,43.8,27,16,21,0.50
2000-01-16,26.0,44.3,33,21,27,2.40
2000-01-17,28.4,46.7,31,17,22,0.20
2000-01-18,28.6,46.9,30,17,22,0.30
2000-01-19,28.6,47.2,36,17,26,0.20
2000-01-20,28.9,47.4,35,27,30,0.10
2000-01-21,29.1,47.5,34,22,28,0.00
2000-01-22,29.2,47.5,39,22,27,0.00
2000-01-23,29.2,47.5,31,19,23,0.00
2000-01-24,29.2,47.5,36,22,26,0.10
2000-01-25,29.3,47.6,40,23,29,0.00
2000-01-26,29.3,47.6,31,18,23,0.00
2000-01-27,29.3,47.6,37,20,25,0.10
2000-01-28,29.3,47.7,43,21,28,0.10
2000-01-29,29.5,47.8,46,24,30,0.10
2000-01-30,29.6,47.9,38,27,31,1.00
2000-01-31,29.7,48.9,33,27,30,2.10
2000-02-01,30.6,51.0,33,27,31,0.40
2000-02-02,32.7,51.4,34,21,27,0.00
2000-02-03,33.1,51.4,45,25,32,0.10
2000-02-04,33.2,51.5,45,29,33,0.00
2000-02-05,33.2,51.5,46,28,33,0.00
2000-02-06,33.1,51.5,39,32,34,0.00
2000-02-07,33.2,51.5,38,31,35,0.20
2000-02-08,33.4,51.7,36,24,31,0.40
2000-02-09,33.8,52.1,40,23,27,0.00
2000-02-10,33.8,52.1,37,21,26,0.10
2000-02-11,33.9,52.2,37,18,25,0.10
2000-02-12,34.0,52.3,30,2,19,0.00
2000-02-13,33.7,52.3,30,15,22,0.30
2000-02-14,34.0,52.6,30,24,26,0.00
2000-02-15,33.6,52.6,39,20,26,0.00
2000-02-16,33.8,52.6,43,19,26,0.20
2000-02-17,34.0,52.8,44,17,26,0.00
2000-02-18,34.0,52.8,46,18,28,0.20
2000-02-19,34.2,53.0,52,24,33,0.10
